Time,X,Y,Z,ItemId
22:36:45.736,-11.5,-9.79859,0,null
22:36:46.736,-16.64171,-7.548944,0,null
22:36:47.738,-26.6529,-4.796744,0,null
22:36:48.739,-36.5,-6.992623,0,null
22:36:49.739,-35.63699,1.163851,0,null
22:36:50.739,-26.47696,2.380886,0,null
22:36:51.739,-28.59432,1.451172,0,null
22:36:52.739,-25.86508,1.654422,0,null
22:36:53.742,-30.52114,-0.08205605,0,null
22:36:54.743,-26.5,-0.5486981,0,null
22:36:55.746,-25.93353,-0.5488285,0,_Box
22:36:56.748,-29.71421,1.45101,0,_Box
22:36:57.748,-35.27036,-0.5489769,0,_Box
22:36:58.750,-34.02378,-9.098023,0,_Box
22:36:59.750,-28.46821,-10.54869,0,_Box
22:37:00.752,-24.11165,-16.54895,0,_Box
22:37:01.754,-18.55081,-16.5246,0,_Box
22:37:02.755,-12.98258,-14.66059,0,_Box
22:37:03.759,-7.410913,-9.903769,0,_Box
22:37:04.760,-1.850677,-11.83453,0,_Box
22:37:05.762,3.717953,-16.50153,0,_Box
22:37:06.764,9.286933,-16.54878,0,_Box
22:37:07.765,16.54356,-16.87609,0,null
22:37:08.769,26.5,-17.83092,0,null
22:37:09.769,32.5,-13.43427,0,null
22:37:10.770,39.21348,-10.54881,0,_Rag
22:37:11.770,38.02053,-8.388471,0,_Rag
22:37:12.773,43.99155,-7.548737,0,_Rag
22:37:13.776,46.15151,-7.548735,0,_Rag
22:37:14.779,46.02196,-7.548736,0,null
22:37:15.779,48.26592,-7.548738,0,null
22:37:16.783,45.58475,-7.548738,0,null
22:37:17.786,45.58475,-7.548738,0,null
22:37:18.786,45.58475,-7.548738,0,null
22:37:19.790,45.58469,-7.548738,0,null
22:37:20.793,45.11827,-7.548738,0,Shampoo
22:37:21.793,45.15721,-4.771495,0,null
22:37:22.793,48.31067,-6.189503,0,null
22:37:23.793,48.48283,-6.895561,0,_Rag
22:37:24.796,48.6595,-7.548885,0,_Rag
22:37:25.796,41.12589,-7.542672,0,_Rag
22:37:26.796,37.37722,-10.54903,0,_Rag
22:37:27.798,37.8362,-10.54903,0,_Rag
22:37:28.800,43.36246,-7.548848,0,_Rag
22:37:29.801,44.52788,-7.548848,0,null
22:37:30.802,42.20307,-7.548848,0,_Rag
22:37:31.802,38.42183,-9.347445,0,_Rag
22:37:32.806,39.45155,-8.767324,0,_Rag
22:37:33.807,31.26623,-7.666549,0,_Rag
22:37:34.810,30.5,-11.41146,0,_Rag
22:37:35.813,32.10567,-15.65944,0,_Rag
22:37:36.815,34.18559,-15.54252,0,_Rag
